pl_name,hostname,pl_rade,pl_orbsmax,st_teff,st_lum,teq_recalc,st_lum_linear
Kepler-1067 c,Kepler-1067,1.74682428,0.06069,5594.0,-0.14725,1036.7492435827999,0.7124427970222603
EPIC 201841433 b,EPIC 201841433,1.04,0.035,5053.0,-0.63455,1031.272112400903,0.23197970936845488
HATS-64 b,HATS-64,18.819911,0.06562,6554.0,0.86747,1788.1097979010472,7.370042631286165
HATS-65 b,HATS-65,16.824709,0.04497,6277.0,0.37658,1628.2772391306005,2.380016675852849
K2-80 b,K2-80,2.01,0.135,5441.0,-0.43238,589.9061334146521,0.3695047281837011
Kepler-1222 b,Kepler-1222,0.79,0.02801,5239.0,-0.45761,1276.396902232471,0.34865026529141147
K2-285 d,K2-285,2.48,0.1178,4975.0,-0.42183,635.3523647631228,0.3785907510774829
K2-285 e,K2-285,1.95,0.18041,4975.0,-0.42183,513.4013338497875,0.3785907510774829
HATS-60 b,HATS-60,12.923977,0.04708,5688.0,0.30016,1522.8831058121457,1.9959975321946712
Kepler-359 b,Kepler-359,3.53,0.178,6248.0,-0.09657,623.2930649617193,0.8006265723495446
WASP-165 b,WASP-165,14.12334,0.04823,5599.0,0.42831,1619.808467723351,2.6810814015605806
HD 4313 b,HD 4313,13.4,1.157,4943.0,1.14922,500.82167506381404,14.100028808959001
Kepler-1056 b,Kepler-1056,3.01,0.1629,6127.0,0.22658,784.7462585157654,1.6849227724339737
Kepler-1554 b,Kepler-1554,2.9,0.59527,5297.0,-0.39312,287.34774811101886,0.4044641186901005
HATS-59 b,HATS-59,12.621334,0.06112,5670.0,-0.00436,1121.6648827587526,0.9900109542601704
K2-284 b,K2-284,2.78,0.04771,4140.0,-1.01323,710.2849091054468,0.09699961265109992
Kepler-1107 b,Kepler-1107,1.34,0.01285,5268.0,-0.41703,1929.0155656895226,0.3827982996337499
HD 457 b,HD 457,11.9,15.369,6114.04,0.31574,85.04660677270036,2.068902383776325
HD 112640 b,HD 112640,12.9,1.7,4155.0,2.45255,874.8988289497319,283.4980003836708
Kepler-1969 b,Kepler-1969,1.68161001,0.0717,6046.0,-0.1809,935.5353839304737,0.6593256931185149
Kepler-996 b,Kepler-996,1.98,0.0474,6014.0,0.24247,1468.1591127102265,1.7477125305437453
TOI-172 b,TOI-172,10.816685,0.0914,5645.0,0.4609,1198.9379248979333,2.89001435534947
K2-85 b,K2-85,1.4,0.013,4232.0,-0.81171,1528.078339918488,0.1542730266719639
Kepler-48 f,Kepler-48,13.8,5.719187877,5190.0,-0.28926,98.41529852687664,0.5137360000779914
Kepler-1385 b,Kepler-1385,0.85,0.04262,5732.0,0.45032,1745.0909779102703,2.8204603578103296
Kepler-8 b,Kepler-8,15.871944,0.0474,6213.0,0.605,1808.862790294831,4.027170343254591
K2-291 b,K2-291,1.589,0.03261,5520.0,-0.16622,1398.9893117874924,0.6819931302357812
HAT-P-25 b,HAT-P-25,12.722215,0.0466,5519.0,-0.15181,1180.0470881484257,0.7050014334091791
GJ 328 c,GJ 328,4.91,0.657,3897.0,-1.08,184.18833038047362,0.08317637711026708
K2-181 b,K2-181,2.69,0.0706,5528.0,-0.01252,1038.7533691094204,0.9715832074866401
Kepler-1039 b,Kepler-1039,1.46,0.01714,4870.0,-0.64925,1461.25795054262,0.22425906132204457
HATS-69 b,HATS-69,10.592505,0.03211,5137.0,-0.31758,1292.1997215938177,0.48130458625255457
HATS-68 b,HATS-68,13.809488,0.05071,6147.0,0.59218,1735.973097677285,3.910029193623269
Kepler-1383 b,Kepler-1383,1.41,0.11397,6370.0,0.56772,1141.7723504675835,3.695898195877257
Kepler-800 b,Kepler-800,2.85,0.1106,5315.0,-0.35798,680.2557672361434,0.4385508933249522
GJ 4276 b,GJ 4276,4.22,0.082,3387.0,-1.70553,363.71010705177866,0.019700171185549738
Kepler-1484 b,Kepler-1484,2.11,0.1939,5730.0,0.79551,998.0065494741967,6.24467729015799
WASP-161 b,WASP-161,12.811887,0.0673,6400.0,0.64738,1555.5438702207052,4.439969635202914
Kepler-172 e,Kepler-172,2.76,0.211,5526.0,-0.03187,594.2046803456907,0.9292445015427806
Kepler-1864 b,Kepler-1864,0.75408365,0.049,5854.0,0.03004,1277.7819703775492,1.0716180003577787
HATS-70 b,HATS-70,15.513256,0.03632,7930.0,1.07918,2714.9815085005644,11.999965570481159
WISPIT 1 b,WISPIT 1,12.4,338.0,4670.0,-0.32014,12.57625821741531,0.47847582507672687
Kepler-281 d,Kepler-281,5.93747806,0.5456,5717.0,0.14638,409.45164012855116,1.4008124726708149
HD 1397 b,HD 1397,11.500434,0.1097,5521.0,0.65992,1227.2173374767144,4.5700399861326355
Kepler-988 b,Kepler-988,2.07,0.1085,4005.0,-1.04739,461.83030414091803,0.08966232578400855
K2-285 b,K2-285,2.59,0.03817,4975.0,-0.42183,1116.1593866905753,0.3785907510774829
Kepler-1694 b,Kepler-1694,1.17986031,0.0449,4954.0,-0.50811,979.2512293133827,0.31037733513142307
Kepler-526 b,Kepler-526,1.99,0.06518,5894.0,0.35055,1332.370835741676,2.241558099840547
HD 47366 c,HD 47366,13.5,1.84,4866.0,1.41664,463.2291538713764,26.099969510270213
K2-245 b,K2-245,4.34,0.0959,5793.0,0.1719,991.0840624430681,1.4855935323494727
Kepler-159 b,Kepler-159,2.38,0.082,4625.0,-0.75443,628.8258256655796,0.17602323568728553
Kepler-859 b,Kepler-859,3.09,0.13157,5020.0,-0.55638,556.3798057914976,0.2777282131508438
