pl_name,hostname,pl_rade,pl_orbsmax,st_teff,st_lum,teq_recalc,st_lum_linear,habitable
Kepler-215 c,Kepler-215,1.77,0.113,5739.0,-0.1172,773.0464216001901,0.7634841051830965,0
Kepler-404 b,Kepler-404,1.27,0.102,5654.0,-0.33704,716.9431341202225,0.4602141843364716,0
HD 3167 d,HD 3167,1.92,0.0763,5261.0,-0.27003,861.5391689045226,0.5369947008092392,0
Kepler-317 b,Kepler-317,2.09,0.061,5497.0,-0.2078,998.6881078157804,0.6197264039282268,0
Kepler-319 c,Kepler-319,2.63,0.069,5526.0,-0.18116,953.5209743519752,0.6589310913356197,0
Kepler-375 c,Kepler-375,2.65,0.141,5826.0,-0.16278,674.1246993240286,0.6874165755646032,0
Kepler-356 c,Kepler-356,1.81,0.115,6133.0,0.46128,1069.0939595001792,2.8925441734709563,0
Kepler-387 b,Kepler-387,1.03,0.068,5774.0,0.13738,1153.8127654712232,1.3720817884166598,0
Kepler-388 b,Kepler-388,0.81,0.036,4498.0,-0.43932,1137.7937544890865,0.3636469923823622,0
Kepler-224 e,Kepler-224,1.97,0.124,5018.0,-0.51445,587.1126709502732,0.3058792382726724,0
Kepler-226 d,Kepler-226,1.22,0.076,5571.0,-0.23921,878.6896274584648,0.5764876394985796,0
Kepler-348 b,Kepler-348,1.52,0.076,6177.0,0.4331,1293.936607097438,2.710815748427232,0
Kepler-338 b,Kepler-338,2.44,0.117,5923.0,0.5857,1138.61490608801,3.8521217059810273,0
Kepler-376 c,Kepler-376,1.79,0.115,5900.0,0.35663,1006.5917711656432,2.273159972195652,0
Kepler-377 c,Kepler-377,2.06,0.182,5949.0,0.21756,738.582650809423,1.6502889814200228,0
Kepler-389 b,Kepler-389,1.51,0.041,5376.0,-0.51588,1020.194240882464,0.3048737270496202,0
Kepler-118 b,Kepler-118,1.96,0.073,5274.0,-0.37737,828.0200743469297,0.4194015198962562,0
Kepler-123 c,Kepler-123,1.48,0.181,6089.0,0.40952,827.1523510254325,2.5675564457275337,0
Kepler-243 c,Kepler-243,1.99,0.142,5228.0,-0.37337,595.0563906986513,0.4232821943802445,0
GJ 3470 b,GJ 3470,4.57,0.0355,3600.0,-1.5376,608.8784724650666,0.0290001336905406,0
Kepler-379 c,Kepler-379,2.29,0.326,6054.0,0.27953,571.8978921739226,1.9033997152295292,0
Kepler-112 c,Kepler-112,2.4,0.172,5544.0,-0.08612,637.89701876531,0.8201249041343217,0
Kepler-137 c,Kepler-137,1.88,0.13,5187.0,-0.29234,651.6105688451992,0.5101054927697318,0
Kepler-390 b,Kepler-390,0.82,0.065,5166.0,-0.352,890.4060815320818,0.4446312674691087,0
HD 221420 b,HD 221420,12.0,10.15,5847.0,0.60293,123.4651177095804,4.008021107531615,0
Kepler-351 c,Kepler-351,3.19,0.287,5643.0,-0.38644,415.4261660499529,0.4107333808688016,0
Kepler-327 b,Kepler-327,1.11,0.029,3799.0,-1.25964,790.5617482908048,0.0549996593976401,0
Kepler-114 b,Kepler-114,1.26,0.053,4605.0,-0.6853,813.9202639331246,0.2063953934399225,0
Kepler-358 c,Kepler-358,2.85,0.381,5908.0,-0.13809,415.96789081667526,0.727629000419531,0
Kepler-169 c,Kepler-169,1.21,0.062,4997.0,-0.49611,839.1149354095992,0.3190729590841653,0
Kepler-236 b,Kepler-236,1.57,0.065,3750.0,-1.22915,537.4036571748001,0.0589997267139773,0
Kepler-141 c,Kepler-141,1.41,0.067,4910.0,-0.44625,830.7013085230337,0.3578903595427346,0
Kepler-858 b,Kepler-858,4.87,0.33939,5653.0,-0.1131,447.1160655457986,0.7707259824155193,0
Kepler-855 b,Kepler-855,8.35,0.0762,5835.0,0.33305,1219.915670919134,2.1530295971487496,0
Kepler-321 c,Kepler-321,2.32,0.11,5740.0,-0.00798,834.3599575528102,0.9817931552245994,0
Kepler-349 b,Kepler-349,1.9,0.065,5956.0,-0.0073,1085.8332031509178,0.9833316096867432,0
Kepler-353 c,Kepler-353,1.38,0.065,3903.0,-1.18709,550.5738972315092,0.0649994976198143,0
Kepler-359 c,Kepler-359,4.3,0.307,6248.0,-0.09657,474.6058731063743,0.8006265723495446,0
Kepler-173 b,Kepler-173,1.29,0.048,6031.0,0.07365,1323.8435908936867,1.184813516426631,0
K2-29 b,K2-29,13.33871,0.04217,5358.0,-0.29533,1142.1167357335555,0.5066056161483895,0
Kepler-180 b,Kepler-180,1.5,0.109,5731.0,-0.13204,780.4077021165533,0.7378362697676252,0
Kepler-244 d,Kepler-244,2.31,0.14,5554.0,-0.25619,641.1110732647792,0.554383122176661,0
Kepler-254 c,Kepler-254,2.15,0.105,5957.0,-0.12491,798.4038938974874,0.7500496280063079,0
WASP-92 b,WASP-92,16.376349,0.0348,6280.0,0.27461,1745.4510504833756,1.8819583164650144,0
HD 108202 b,HD 108202,13.1,3.7,4556.03,-0.76721,92.92689665421835,0.1709188649258182,0
Kepler-330 c,Kepler-330,1.95,0.116,5117.0,-0.44191,632.9046716015142,0.3614847663271861,0
Kepler-1243 b,Kepler-1243,1.75,0.1256,5667.0,-0.24358,681.7968277440085,0.5707159367278045,0
Kepler-360 b,Kepler-360,1.65,0.044,6053.0,-0.13236,1228.0850871237226,0.7372928121547285,0
